BASE_WORD	INPUT_WORD	TYPE	RELATION_ID	IN_WORD_NET	CNT
wheel	rubber	meronyms	1455	0	11
desk	wood	meronyms	1523	0	11
stew	carrots	meronyms	2787	0	11
restaurant	chairs	meronyms	2879	0	11
obstruction	barrier	hyponyms	11954	1	11
mouth	gums	meronyms	382	0	11
city	roads	meronyms	500	0	11
quarter	tails	meronyms	1639	0	11
shoe	leather	meronyms	939	0	11
sentence	subject	meronyms	1037	0	11
relative	brother	hyponyms	8747	0	11
hitch	marriage	hyponyms	11288	0	11
inning	bottom	meronyms	10698	1	11
foul	chicken	hyponyms	11721	0	11
alligator	nose	meronyms	911	0	11
shoe	lace	meronyms	1451	1	11
meal	meat	meronyms	1489	0	11
table	wood	meronyms	2334	0	11
greenhouse	glass	meronyms	4281	0	11
ice	oxygen	meronyms	10965	0	11
meal	dessert	meronyms	958	0	11
wheel	tire	meronyms	1331	0	11
radio	antenna	meronyms	1041	0	11
monkey	head	meronyms	2501	0	11
inning	strikes	meronyms	11242	0	11
inning	hits	meronyms	10591	0	11
inning	runs	meronyms	10593	0	11
writings	punctuation	meronyms	10595	0	11
ballet	music	meronyms	10664	0	11
book	paper	meronyms	795	0	11
car	hood	meronyms	2214	1	11
writings	books	synonyms	11147	0	11
turtle	eyes	meronyms	75	0	11
turtle	tail	meronyms	76	0	11
aquarium	tank	meronyms	398	0	11
male	arms	meronyms	1080	0	11
mansion	rooms	meronyms	1166	0	11
oven	door	meronyms	1022	0	11
painting	canvas	meronyms	1107	0	11
video	tape	meronyms	1580	0	11
pencil	wood	meronyms	5877	0	11
body	ocean	hyponyms	8149	0	11
four	quatro	synonyms	11397	0	11
turtle	legs	meronyms	78	0	11
pipe	stem	meronyms	809	1	11
female	head	meronyms	1366	0	11
chicken	head	meronyms	1464	0	11
solar	mars	meronyms	4148	0	11
rod	pole	meronyms	11262	0	11
plaster	wall	hyponyms	10689	0	11
dish	food	meronyms	10648	0	11
pond	water	meronyms	615	0	11
book	title	meronyms	1214	0	11
storm	clouds	meronyms	920	0	11
dictionary	cover	meronyms	1088	0	11
eagle	claws	meronyms	1395	0	11
sentence	noun	meronyms	1032	0	11
car	wheels	meronyms	1502	0	11
car	door	meronyms	2001	0	11
sleep	up	antonyms	10946	0	11
skin	dermis	meronyms	10968	1	11
eagle	feet	meronyms	1445	0	11
inning	pitch	meronyms	10795	0	10
spacecraft	nose	meronyms	12315	0	10
60	seconds	meronyms	14039	0	10
book	end	meronyms	1583	0	10
volcano	magma	meronyms	2562	0	10
solar	moon	meronyms	3321	0	10
inning	bat	meronyms	11197	0	10
limited	many	antonyms	10791	0	10
water	rain	meronyms	12262	0	10
needle	thread	meronyms	1055	0	10
apple	core	meronyms	3518	0	10
monkey	fur	meronyms	2692	0	10
obstruction	block	hyponyms	11353	1	10
pigment	color	synonyms	11068	0	10
court	jury	meronyms	537	1	10
pipe	hole	meronyms	805	0	10
sentence	words	meronyms	2186	0	10
magazine	cover	meronyms	3537	0	10
climate	temperate	hyponyms	8727	0	10
voter	democrat	hyponyms	10784	0	10
localized	near	synonyms	12010	0	10
moon	craters	meronyms	1638	0	10
story	beginning	meronyms	1122	0	10
textbook	words	meronyms	1536	0	10
flag	stripes	meronyms	3209	0	10
yellow	gold	synonyms	11192	0	10
asian	indian	hyponyms	12378	1	10
book	author	meronyms	45	0	10
game	players	meronyms	415	0	10
quarter	metal	meronyms	1472	0	10
wheel	spoke	meronyms	2058	0	10
house	kitchen	meronyms	3274	0	10
knight	sword	meronyms	3261	0	10
inning	balls	meronyms	11241	0	10
water	pipes	meronyms	11482	0	10
poem	words	meronyms	1193	0	10
town	roads	meronyms	1326	0	10
alligator	legs	meronyms	1387	0	10
sentence	period	meronyms	1570	0	10
meal	food	meronyms	1985	0	10
soldier	gun	meronyms	3278	0	10
radio	speaker	meronyms	2918	0	10
grain	barley	hyponyms	8734	1	10
rod	handle	meronyms	10857	0	10
asian	korean	hyponyms	12379	1	10
lake	water	meronyms	306	0	10
airport	terminal	meronyms	737	0	10
city	building	meronyms	800	0	10
finger	joint	meronyms	971	0	10
moon	crater	meronyms	1345	0	10
face	ears	meronyms	3517	0	10
sterile	fertile	antonyms	8083	1	10
plaster	white	hyponyms	11363	0	10
foul	bird	hyponyms	10861	0	10
dish	plate	meronyms	11844	0	10
swivel	turn	synonyms	11852	0	10
book	chapters	meronyms	46	0	10
skin	cells	meronyms	459	0	10
alligator	head	meronyms	1256	0	10
pizza	pepperoni	meronyms	1143	0	10
tank	gun	meronyms	1100	0	10
quarter	silver	meronyms	1475	0	10
robot	metal	meronyms	1527	0	10
map	roads	meronyms	2820	0	10
spacecraft	wings	meronyms	10739	0	10
ice	cube	meronyms	10747	0	10
writings	letters	synonyms	10684	0	10
airplane	engine	meronyms	1123	0	9
stew	beef	meronyms	3666	0	9
writings	poems	synonyms	10802	0	9
desirable	gross	antonyms	11489	0	9
seafood	shellfish	hyponyms	11493	1	9
volcano	mountain	meronyms	322	0	9
eye	retina	meronyms	1642	1	9
school	playground	meronyms	1725	0	9
monkey	face	meronyms	2224	0	9
bed	pillow	meronyms	4847	0	9
month	tuesday	meronyms	10730	0	9
saved	unsaved	antonyms	11981	0	9
feeding	food	meronyms	12046	0	9
foul	sweet	antonyms	11708	0	9
seafood	scallops	hyponyms	12787	0	9
party	games	meronyms	1384	0	9
town	buildings	meronyms	1828	0	9
table	top	meronyms	3954	0	9
earnings	money	synonyms	8141	0	9
principal	main	synonyms	9016	1	9
month	end	meronyms	10604	0	9
voter	republican	hyponyms	10783	0	9
looking	watching	synonyms	10932	0	9
party	alcohol	meronyms	1615	0	9
desk	drawer	meronyms	998	1	9
stew	broth	meronyms	1102	0	9
monkey	feet	meronyms	2503	0	9
hunter	hat	meronyms	2228	0	9
story	middle	meronyms	2850	0	9
greenhouse	door	meronyms	3118	0	9
woody	hard	synonyms	11786	0	9
storm	snow	meronyms	1624	0	9
male	nose	meronyms	1083	0	9
game	dice	meronyms	1355	0	9
refrigerator	shelves	meronyms	1097	0	9
car	tire	meronyms	2551	0	9
female	arms	meronyms	2194	0	9
pencil	lead	meronyms	5878	0	9
writings	book	meronyms	11201	0	9
magnetic	polar	antonyms	11286	0	9
lord	devil	antonyms	11037	0	9
rod	hook	meronyms	10858	0	9
four	number	synonyms	11609	0	9
chicken	tail	meronyms	1635	0	9
honeybee	head	meronyms	1288	0	9
textbook	index	meronyms	1530	0	9
region	land	meronyms	1548	0	9
party	balloons	meronyms	1592	0	9
horse	hoof	meronyms	1806	0	9
finger	bone	meronyms	2198	0	9
park	bench	meronyms	2201	0	9
tank	water	meronyms	4115	0	9
prefix	end	antonyms	10671	0	9
spacecraft	window	meronyms	10889	0	9
woods	jungle	synonyms	10902	0	9
rod	wood	meronyms	11468	0	9
water	tap	meronyms	11652	0	9
climb	rock	hyponyms	12866	0	9
looking	seeing	hyponyms	13764	0	9
aquarium	tanks	meronyms	84	0	9
pond	fish	meronyms	617	0	9
video	introduction	meronyms	1241	0	9
storm	tornado	meronyms	921	0	9
pencil	eraser	meronyms	5879	0	9
similarity	twins	hyponyms	12006	0	9
spacecraft	wing	meronyms	11504	0	9
water	ocean	meronyms	12984	0	9
obstruction	wall	hyponyms	12275	0	9
city	parks	meronyms	763	0	9
city	suburbs	meronyms	1226	0	9
product	label	meronyms	1566	0	9
tree	leaf	meronyms	3108	0	9
body	river	hyponyms	8884	0	9
chain	hook	meronyms	10839	0	9
asian	thai	hyponyms	10921	1	9
ice	frozen	meronyms	11518	0	9
elephant	trunk	meronyms	146	1	9
video	credits	meronyms	1233	0	9
city	park	meronyms	1237	0	9
solar	stars	meronyms	784	0	8
liquid	atoms	meronyms	1333	0	8
honeybee	body	meronyms	1430	0	8
president	head	meronyms	2616	0	8
sphere	round	meronyms	2980	0	8
recipe	ingredients	meronyms	3076	0	8
sentence	object	meronyms	3256	0	8
knight	armor	meronyms	3257	0	8
painting	brush	meronyms	4229	0	8
inning	base	meronyms	11343	0	8
month	sunday	meronyms	10735	0	8
aggression	anger	hyponyms	10766	0	8
yellow	golden	synonyms	11431	0	8
month	beginning	meronyms	12820	0	8
kitchen	stove	meronyms	189	0	8
volcano	rock	meronyms	1645	0	8
party	dancing	meronyms	906	0	8
chicken	eggs	meronyms	945	0	8
document	text	meronyms	1059	0	8
refrigerator	light	meronyms	3077	0	8
solar	venus	meronyms	4149	0	8
appliance	microwave	hyponyms	8117	0	8
near	close	synonyms	8599	1	8
soft	hard	antonyms	8510	1	8
yellow	bright	synonyms	11120	0	8
yellow	sunny	synonyms	11121	0	8
upstream	downstream	antonyms	12210	1	8
foul	pleasant	antonyms	12114	0	8
purse	buckle	meronyms	885	0	8
oven	timer	meronyms	1026	0	8
computer	processor	meronyms	2496	1	8
limited	infinite	antonyms	11216	0	8
month	friday	meronyms	10731	0	8
limited	free	antonyms	10681	0	8
writings	introduction	meronyms	10796	0	8
hitch	divorce	antonyms	10834	0	8
four	4	synonyms	10894	1	8
water	tank	meronyms	11436	0	8
woods	branches	meronyms	12814	0	8
chain	end	meronyms	12939	0	8
looking	gazing	synonyms	13446	0	8
pool	diving board	meronyms	1017	0	8
horse	ears	meronyms	1812	0	8
stadium	seats	meronyms	3339	0	8
desert	sand	meronyms	5254	0	8
sterile	unclean	antonyms	8085	0	8
ballet	dancers	meronyms	10661	0	8
wake	awaken	synonyms	10768	0	8
hitch	car	hyponyms	12136	0	8
book	plot	meronyms	550	0	8
city	houses	meronyms	1265	0	8
meal	drink	meronyms	959	0	8
novel	characters	meronyms	1170	0	8
greenhouse	water	meronyms	1187	0	8
game	cards	meronyms	1360	0	8
sphere	radius	meronyms	3239	0	8
body	sea	hyponyms	8150	0	8
climate	warm	hyponyms	8743	0	8
foul	personal	hyponyms	10691	0	8
seafood	mussels	hyponyms	10851	0	8
violin	body	meronyms	644	0	8
airport	security	meronyms	1015	0	8
male	face	meronyms	1081	0	8
microwave	timer	meronyms	1185	0	8
school	class	meronyms	1301	0	8
gym	treadmill	meronyms	1073	0	8
computer	motherboard	meronyms	2293	0	8
textbook	paper	meronyms	2046	0	8
document	paper	meronyms	2988	0	8
monkey	teeth	meronyms	3014	0	8
needle	metal	meronyms	4375	0	8
body	pond	hyponyms	8151	0	8
rod	stick	meronyms	11263	0	8
foul	smell	hyponyms	11283	0	8
inning	baseball	meronyms	10702	0	8
looking	searching	synonyms	12055	0	8
door	lock	meronyms	39	1	8
turtle	mouth	meronyms	77	0	8
purse	pockets	meronyms	901	0	8
car	steering wheel	meronyms	979	0	8
flag	cloth	meronyms	1136	0	8
storm	eye	meronyms	1295	0	8
document	title	meronyms	1058	0	8
tool	hammer	hyponyms	8234	0	8
protest	violent	hyponyms	10916	0	8
mill	wheel	meronyms	10989	0	8
water	hose	meronyms	11435	0	8
ice	snow	meronyms	11519	0	8
water	reservoir	meronyms	11568	1	8
mansion	castle	hyponyms	13187	1	8
climb	hill	hyponyms	13193	0	8
book	table of contents	meronyms	551	0	8
honeybee	stripes	meronyms	567	0	8
purse	bag	meronyms	1712	0	8
meal	appetizer	meronyms	960	0	8
needle	hole	meronyms	1053	0	8
stew	vegetables	meronyms	1101	0	8
wheel	rim	meronyms	1456	1	8
school	office	meronyms	1796	0	8
radio	dial	meronyms	2218	0	8
honeybee	mouth	meronyms	1760	0	8
writings	title	meronyms	10799	0	8
hitch	ball	hyponyms	11417	0	8
rod	tip	meronyms	11475	0	8
volcano	crater	meronyms	326	1	8
eagle	legs	meronyms	1335	0	7
moon	cheese	meronyms	1467	0	7
horse	body	meronyms	1603	0	7
desk	drawers	meronyms	2324	0	7
alligator	tongue	meronyms	1747	0	7
pants	zipper	meronyms	3525	0	7
skateboard	deck	meronyms	3035	0	7
plant	stem	meronyms	3350	0	7
song	music	meronyms	5089	0	7
plaster	glue	hyponyms	11297	0	7
month	wednesday	meronyms	10732	0	7
immature	childish	synonyms	10456	0	7
bike	wheel	meronyms	10785	0	7
water	sink	meronyms	10887	0	7
woods	jungle	hyponyms	11986	1	7
dissolution	solution	hyponyms	12030	0	7
writings	poem	meronyms	12152	0	7
solar	uranus	meronyms	4147	0	7
soldier	uniform	meronyms	4823	0	7
rifle	trigger	meronyms	6136	0	7
zebra	tail	meronyms	5920	0	7
relative	grandfather	hyponyms	8101	0	7
bring	carry	synonyms	8604	0	7
appliance	dishwasher	hyponyms	8873	0	7
inning	out	meronyms	11183	0	7
inning	strike	meronyms	11186	0	7
ballet	shoes	meronyms	10659	0	7
peanut	salt	meronyms	10777	0	7
limited	endless	antonyms	11108	0	7
game	ball	meronyms	705	0	7
liquid	molecules	meronyms	1332	0	7
library	computers	meronyms	2105	0	7
skateboard	wood	meronyms	2177	0	7
school	library	meronyms	1749	0	7
zebra	legs	meronyms	5286	0	7
warm	cold	antonyms	8518	0	7
climate	humid	hyponyms	8735	0	7
diverse	different	synonyms	8955	0	7
similarity	alike	hyponyms	11163	0	7
mill	water	meronyms	10988	0	7
shark	fin	meronyms	163	0	7
lizard	tail	meronyms	362	0	7
game	fun	meronyms	417	0	7
film	actors	meronyms	484	0	7
male	feet	meronyms	1082	0	7
quarter	tail	meronyms	1350	0	7
book	beginning	meronyms	1585	0	7
needle	shaft	meronyms	2474	0	7
hunter	eyes	meronyms	3016	0	7
sentence	punctuation	meronyms	3258	0	7
mansion	kitchen	meronyms	3293	0	7
pizza	sausage	meronyms	4193	0	7
magazine	articles	meronyms	5446	0	7
last	first	antonyms	8522	1	7
foul	technical	hyponyms	10690	1	7
marching	stepping	synonyms	10723	0	7
month	saturday	meronyms	10734	0	7
woods	pine	hyponyms	10892	0	7
woods	tree	meronyms	10950	1	7
bike	mountain	hyponyms	11018	0	7
yellow	lemon	synonyms	11884	0	7
solar	comets	meronyms	540	0	7
town	church	meronyms	931	0	7
volcano	smoke	meronyms	952	0	7
airport	gate	meronyms	1013	0	7
restaurant	bar	meronyms	1130	0	7
liquid	wet	meronyms	1822	0	7
airplane	wing	meronyms	4076	1	7
possess	hold	synonyms	8114	0	7
frequent	common	synonyms	8055	0	7
pony	colt	synonyms	11158	0	7
seafood	clam	hyponyms	11334	0	7
month	weekends	meronyms	10444	0	7
similarity	size	hyponyms	11686	0	7
paris	eiffel tower	meronyms	12438	1	7
seafood	cod	hyponyms	12465	0	7
volcano	eruption	meronyms	324	0	7
game	pieces	meronyms	414	0	7
violin	wood	meronyms	648	0	7
horse	feet	meronyms	937	0	7
male	hands	meronyms	1084	0	7
game	loser	meronyms	413	0	7
park	swings	meronyms	991	0	7
honeybee	thorax	meronyms	1289	0	7
honeybee	honey	meronyms	1315	0	7
pumpkin	guts	meronyms	2315	0	7
storm	cloud	meronyms	1748	0	7
violin	string	meronyms	3464	0	7
knight	helmet	meronyms	3259	0	7
restaurant	table	meronyms	3824	0	7
pan	handle	meronyms	5760	0	7
atmosphere	oxygen	meronyms	5699	0	7
instrument	violin	hyponyms	8157	0	7
yellow	sunflower	synonyms	10806	0	7
looking	seeking	synonyms	10933	0	7
inning	score	meronyms	11083	0	7
localized	central	synonyms	12008	0	7
pipe	metal	meronyms	1612	0	7
aquarium	filter	meronyms	1278	0	7
female	nose	meronyms	965	0	7
bathroom	tub	meronyms	1150	1	7
eye	lid	meronyms	1353	1	7
pipe	end	meronyms	1414	0	7
needle	tip	meronyms	1054	0	7
document	header	meronyms	1061	0	7
horse	back	meronyms	1807	0	7
car	seats	meronyms	2407	0	7
earnings	income	synonyms	8142	0	7
body	stream	hyponyms	8146	0	7
